raw_value,code,method,reviewed
г. Березники,RU-PER,manual,true
г. Чусовой,RU-PER,manual,true
г. Кизел,RU-PER,manual,true
Россошанский окр.,RU-VOR,manual,true
г. Воронеж,RU-VOR,manual,true
г. Ростова-на-Дону,RU-ROS,manual,true
г. Калинин,RU-TVE,manual,true
г. Тамбове,RU-TAM,manual,true
г. Кемерово,RU-KEM,manual,true
г. Ковров.,RU-VLA,manual,true
г. Улан-Удэ,RU-BU,manual,true
г. Петропавловск-Камчатский,RU-KAM,manual,true
Благовещенске.,RU-AMU,manual,true
Вологодская о.,RU-VLG,manual,true
Томский р-н,RU-TOM,manual,true
Рязанский р-н,RU-RYA,manual,true
Шиловский р-н,RU-RYA,manual,true
Касимовский р-н,RU-RYA,manual,true
Азнакаевский р-н,RU-TA,manual,true
Тетюшский р-н,RU-TA,manual,true
Арский р-н,RU-TA,manual,true
Буинский р-н,RU-TA,manual,true
Бугульминский р-н,RU-TA,manual,true
Аксубаевский р-н,RU-TA,manual,true
Зеленодольский р-н,RU-TA,manual,true
Алькеевский р-н,RU-TA,manual,true
Агрызский р-н,RU-TA,manual,true
Пестречинский р-н,RU-TA,manual,true
Бавлинский р-н,RU-TA,manual,true
Нижнекамский р-н,RU-TA,manual,true
Мензелинский р-н,RU-TA,manual,true
Верхнеуслонский р-н,RU-TA,manual,true
Новошешминский р-н,RU-TA,manual,true
Дрожжановский р-н,RU-TA,manual,true
Муслюмовский р-н,RU-TA,manual,true
Кукморский р-н,RU-TA,manual,true
Сармановский р-н,RU-TA,manual,true
Черемшанский р-н,RU-TA,manual,true
Заинский р-н,RU-TA,manual,true
Камско-Устьинский р-н,RU-TA,manual,true
Балтасинский р-н,RU-TA,manual,true
Кайбицкий р-н,RU-TA,manual,true
Сабинский р-н,RU-TA,manual,true
Рыбнослободский р-н,RU-TA,manual,true
Рыбно-Слободский р-н,RU-TA,manual,true
Апастовский р-н,RU-TA,manual,true
Атнинский р-н,RU-TA,manual,true
Елабужский р-н,RU-TA,manual,true
Менделеевский р-н,RU-TA,manual,true
Ютазинский р-н,RU-TA,manual,true
Змеиногорский р-н,RU-ALT,manual,true
Солтонский р-н,RU-ALT,manual,true
Чарышский р-н,RU-ALT,manual,true
Бийский р-н,RU-ALT,manual,true
Немецкий р-н,RU-ALT,manual,true
Краюшкинский р-н,RU-ALT,manual,true
Солонешенский р-н,RU-ALT,manual,true
Алейский р-н,RU-ALT,manual,true
Славгородский р-н,RU-ALT,manual,true
Баевский р-н,RU-ALT,manual,true
Косихинский р-н,RU-ALT,manual,true
Волчихинский р-н,RU-ALT,manual,true
Шипуновский р-н,RU-ALT,manual,true
С-Бардинский р-н,RU-ALT,manual,true
Кош-Агачский р-н,RU-AL,manual,true
Онгудайский р-н,RU-AL,manual,true
Усть-Коксинский р-н,RU-AL,manual,true
Шебалинский р-н,RU-AL,manual,true
Майминский р-н,RU-AL,manual,true
Усть-Канский р-н,RU-AL,manual,true
Турачакский р-н,RU-AL,manual,true
г. Джанкой,UA-43,manual,true
(Крымская АССР),UA-43,manual,true
г. Старый Крым,UA-43,manual,true
